Rank ,Channel Info,Influence score ,Posts ,Followers ,Total Likes,Country or Region 
1,cristiano ,92,3.3k,439.7,28.4,Spain 
2,kyliejenner ,91,6.9k ,336.3,57.1,United States 
3,leomessi ,90,855,325.8,5.8,Argentina
4,selenagomez ,93,1.8k,318.4,11.4,United States 
5,therock ,91,6.5k,314.6,12.3,United States 
6,arianagrande,92,5k ,309.9,18.4,United States 
7,kimkardashian ,91,5.5k,309.8,19.4,United States 
8,beyonce ,92,2.0k,255.5,7.4,United States 
9,khloekardashian,89,4.0k,241.8,9.6,United States 
10,kendalljenner ,90,743,236.3,4,United States 
11,justinbieber,91,7.2k,235.1,13.7,Canada
12,natgeo,91,26.7k,221.3,8.3,United States 
13,nike ,90,896,217.3,0.32,United States 
14,taylorswift ,91,534,209.7,1.3,United States 
15,jlo ,89,3.1k,207.1,5.2,United States 
16,virat.kohli ,87,1.4k,194.9,4.7,India 
17,nickiminaj ,90,6.3k ,189,13.6,United States
18,kourtneykardash,89,4.3k,176.3,7.6,United States
19,neymarjr,90,5.2k,173.9,14.1,Brazil 
20,mileycyrus,89,1.2k,170.2,1.6,United States 
21,katyperry ,92,2.0k,160.5,1.5,United States 
22,kevinhart4real,88,8.0k,143.3,4.3,United States
23,zendaya,87,3.5k,140.5,20.2,United States
24,ddlovato ,88,27,131.6,31.8,United States
25,iamcardib ,75,1.6k,130.6,4.9,United States
26,badgalriri,88,4.8k,128.6,17.7,United States
27,kingjames,86,2.3k,120.3,4.9,United Kingdom 
28,theellenshow,87,10.3k,119,4.4,United States 
29,realmadrid,90,6.2k,116.7,6.2,Spain 
30,champagnepapi ,85,5.2k,109.8,8.8,Netherlands 
31,chrisbrownofficial ,86,7.2k,108.7,3.4,United States 
32,fcbarcelona,90,16.5k,108.4,19.6,Spain 
33,billieeilish,73,663,103,5.7,United States 
34,dualipa,74,1.1k,82.9,2.4,United Kingdom 
35,vindiesel ,88,1.8k,79.8,2.6,United States 
36,gal_gadot,85,1.7k,79.5,2.3,United States 
37,priyankachopra,85,3.5k,77.6,5.5,United States 
38,lalalalisa_m,70,842,77.4,4.6,Thailand 
39,nasa,88,3.5k,76.2,4.1,United States 
40,gigihadid,85,3.2k,74.1,8.1,United States 
41,snoopdogg,86,53.3k,73.4,11.3,United States 
42,davidbeckham ,86,1.5k,72.9,1.9,United States 
43,victoriassecret ,88,2.7k,72.5,0.39,United States 
44,shakira ,88,1.9k,72.3,1.9,Colombia 
45,shraddhakapoor ,81,1.9k ,71.9,3,India
46,k.mbappe,86,1.1k,71.2,2.7,France 
47,nehakakkar,84,2.3k,69.7,3.6,India 
48,shawnmendes,83,2.5k,68.2,8.9,Canada 
49,narendramodi,85,525,67.1,1.6,India 
50,nba,87,49.1k,66.8,18.7,United States 
51,emmawatson ,87,345,66.5,0.64,United States 
52,deepikapadukon ,83,218,66.4,0.34,India 
53,jennierubyjane,76,850,66.3,4.3,South Korea 
54,ronaldinho,78,2.9k ,66.2,2.7,Brazil 
55,tomholland2013,77,1.2k,66.1,6.5,United Kingdom 
56,aliaabhatt,82,1.8k,64.8,3.1,India 
57,willsmith ,82,1.4k,64.7,1.9,United States 
58,justintimberlake,87,777,64.6,0.48,United States 
59,marvel ,82,6.7k,64.2,2.2,Turkey 
60,katrinakaif ,85,987,64,1.6,India 
61,bts.bighitofficial ,78,996,63.5,3.8,Uruguay 
62,maluma ,84,8.1k,62.2,9.7,Colombia 
63,camila_cabello ,77,2.8k,62.1,5.3,United States 
64,anitta,82,5.0k ,62.1,4.3,United States 
65,akshaykumar ,85,1.8k,61.6,2.8,India 
66,raffinagita1717,83,17.0k,61.5,6.5,Indonesia 
67,jacquelinef143 ,85,2.4k,60.5,2.8,India 
68,sooyaaa__,82,812,60.1,3.6,South Korea 
69,psg ,86,9.4k,59.5,4.7,France 
70,roses_are_ro,82,798,59,3.6,South Korea 
71,Whinderssonn,79,2.7k,58.3,4.4,Brazil 
72,9gag,86,29.4k,58.3,20.3,United States 
73,anushkasharma,85,1.1k,58.3,2.2,India
74,manchesterunited,85,22.0k,57.7,8.5,United Kingdom 
75,marcelotwelve,86,2.6k,54.7,1.8,Brazil 
76,chrishemsworth ,86,795,54.3,2.2,Australia 
77,paulpogba ,80,1.2k,53.6,1.8,France 
78,iamzlatanibrahimovic,86,859,53.4,1.3,Sweden
79,juventus ,87,12.1k,53.3,2.5,Italy 
80,leonardodicaprio ,86,1.7k ,53.3,0.67,United States 
81,zacefron ,86,662,52.7,1.5,United States 
82,tatawerneck  ,86,5.5k,52.7,5.4,Brazil 
83,robertdowneyjr,86,418,52.6,1.2,United States 
84,karolg ,83,3.3k,52.4,9.9,India
85,ladygaga,83,3.5k,52.4,5.1,United States 
86,sunnyleone,84,4.5k,52.2,3.5,India
87,jbalvin ,87,13.0k,52.2,12.3,Colombia 
88,karimbenzema,42,2.0k,52.1,1.7,Spain 
89,bellahadid,79,3.1k,51.9,3.4,United Kingdom 
90,ayutingting92,85,11.1k,51.6,1.7,Indonesia 
91,beingsalmankhan ,76,1.2k,51.5,1.6,India
92,dishapatani ,74,2.1k,50.7,3.4,United States
93,mosalah ,22,813,50.3,1.4,Egypt 
94,hudabeauty ,82,2.0k,50.3,0.37,United States 
95,adele,84,414,49.9,2,United States 
96,433,79,20.6k,49.7,17.6,Netherlands 
97,michelleobama ,85,571,49.4,0.41,United States 
98,jamesrodriguez10,86,1.0k ,49.3,1.5,Colombia 
99,charlidamelio ,80,119,48.4,0.51,United States 
100,milliebobbybrown,80,267,48.4,1.1,United States 
